Stops,Number
STN Ang Mo Kio,1
STN Segar,2
STN Pasir Ris,3
STN Yew Tee,4
80101,5
41079,6
STN Yishun,7
59009,8
42029,9
43499,10
84359,11
STN Serangoon,12
21199,13
70241,14
13089,15
54221,16
STN Clementi,17
28519,18
45421,19
67219,20
52509,21
41041,22
59089,23
64031,24
53389,25
43341,26
12129,27
76399,28
STN Sembawang,29
66059,30
64619,31
84349,32
19089,33
STN Bartley,34
62071,35
27361,36
14199,37
STN Admiralty,38
44201,39
46461,40
20299,41
46391,42
1329,43
66009,44
53051,45
46071,46
72069,47
22009,48
21619,49
70221,50
45321,51
51071,52
27391,53
65161,54
76059,55
54439,56
44009,57
28329,58
84039,59
28281,60
60159,61
STN Outram Park,62
46129,63
43349,64
10009,65
43701,66
18111,67
70301,68
81209,69
54059,70
STN Lavender,71
42299,72
52451,73
17079,74
98019,75
17179,76
55159,77
63051,78
52179,79
70039,80
14291,81
59281,82
67441,83
44531,84
28441,85
11031,86
21599,87
17009,88
54011,89
54181,90
54389,91
52009,92
84021,93
28491,94
76231,95
84511,96
STN Somerset,97
STN Potong Pasir,98
65261,99
75339,100
46669,101
64059,102
54281,103
21711,104
21699,105
20179,106
STN Hougang,107
67449,108
78071,109
75329,110
9022,111
44281,112
66389,113
43659,114
67369,115
40011,116
81181,117
60069,118
44239,119
67131,120
64369,121
66319,122
50161,123
92271,124
59201,125
STN Aljunied,126
43709,127
76081,128
75349,129
54589,130
27131,131
59129,132
STN Pioneer,133
65159,134
67121,135
60089,136
20291,137
76141,138
45009,139
21429,140
84501,141
22349,142
63301,143
63309,144
53059,145
84471,146
STN Toa Payoh,147
52209,148
77009,149
40231,150
51059,151
64421,152
76181,153
53279,154
27309,155
46651,156
52329,157
64021,158
10519,159
11499,160
70261,161
58359,162
STN Dover,163
60261,164
76099,165
53039,166
59051,167
67141,168
53149,169
10171,170
64579,171
10161,172
92061,173
54101,174
64009,175
59459,176
84069,177
67209,178
53271,179
63381,180
52201,181
63059,182
62051,183
77289,184
STN Tiong Bahru,185
92069,186
76369,187
44269,188
42229,189
54331,190
43431,191
STN Fajar,192
46329,193
46009,194
52031,195
14041,196
75009,197
27141,198
11161,199
59239,200
63261,201
70021,202
28079,203
59109,204
STN Woodlands,205
65009,206
63079,207
STN Kovan,208
84679,209
58351,210
67499,211
59008,212
76241,213
70381,214
77051,215
27301,216
58251,217
46281,218
66331,219
66439,220
54009,221
STN Pending,222
78241,223
27451,224
STN Tanah Merah,225
55509,226
84019,227
52339,228
21371,229
54019,230
55121,231
STN Kangkar,232
21611,233
44459,234
52189,235
STN Choa Chu Kang,236
9212,237
50159,238
76089,239
80031,240
76109,241
10089,242
70119,243
63389,244
42191,245
75121,246
78201,247
28561,248
70391,249
11401,250
70211,251
17189,252
46871,253
27419,254
75059,255
43839,256
43009,257
46831,258
27331,259
62059,260
84469,261
54371,262
46521,263
43681,264
67271,265
STN Commonwealth,266
20129,267
21431,268
70059,269
42051,270
76091,271
46619,272
10389,273
STN Bukit Gombak,274
66029,275
44689,276
84231,277
58299,278
84339,279
46649,280
STN Marsiling,281
54209,282
58349,283
44259,284
66339,285
59091,286
52429,287
STN Redhill,288
52369,289
64041,290
45411,291
93061,292
46691,293
78059,294
52109,295
STN Jelapang,296
60269,297
64411,298
43249,299
28511,300
66539,301
64361,302
70151,303
82009,304
22521,305
64051,306
43419,307
17269,308
22459,309
43189,310
46179,311
STN Tongkang,312
27369,313
64429,314
84061,315
76061,316
54329,317
92101,318
61101,319
66419,320
10241,321
78079,322
7211,323
STN Kembangan,324
43089,325
85091,326
13081,327
60121,328
54319,329
59209,330
83119,331
STN Sengkang,332
64101,333
83111,334
58409,335
55129,336
50349,337
10209,338
53129,339
65031,340
12031,341
21591,342
76429,343
84009,344
92249,345
52371,346
92071,347
84449,348
53009,349
93089,350
10599,351
46279,352
75279,353
98109,354
70191,355
20109,356
43059,357
STN Boon Lay,358
84109,359
55181,360
96189,361
84041,362
54489,363
44509,364
84401,365
70019,366
22249,367
21581,368
84491,369
5519,370
75071,371
76361,372
84341,373
70181,374
14389,375
44231,376
41049,377
21441,378
50249,379
22441,380
64611,381
STN Clarke Quay,382
64029,383
83301,384
64629,385
STN Lorong Chuan,386
STN Senja,387
46779,388
62141,389
52439,390
54481,391
20101,392
66411,393
52079,394
28431,395
50991,396
STN Chinatown,397
76071,398
58101,399
10041,400
14281,401
76221,402
51081,403
28081,404
STN South VIEW,405
40109,406
55171,407
STN Khatib,408
63299,409
44469,410
59369,411
STN Jurong East,412
STN Cove,413
53351,414
64601,415
67409,416
10181,417
46088,418
27279,419
43679,420
11059,421
21651,422
STN Harbour Front,423
84521,424
45401,425
84251,426
46241,427
54299,428
STN Paya Lebar,429
STN Kallang,430
78051,431
STN Meridian,432
1121,433
17171,434
53281,435
54261,436
55131,437
STN Bishan,438
64039,439
75231,440
55019,441
44569,442
75351,443
84059,444
64091,445
46441,446
43081,447
59161,448
43571,449
15229,450
66051,451
22499,452
11191,453
10399,454
14399,455
46851,456
52181,457
66309,458
56251,459
50321,460
77301,461
54199,462
78069,463
58321,464
42319,465
71101,466
92041,467
27401,468
28499,469
28621,470
10201,471
22239,472
59111,473
54239,474
